LAMMPS (22 Jul 2025 - Update 3)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread.
  using 1 OpenMP thread(s) per MPI task
Lattice spacing in x,y,z = 2 2 2
Created orthogonal box = (0 0 0) to (12 12 12)
  1 by 1 by 1 MPI processor grid
Created 864 atoms
  using lattice units in orthogonal box = (0 0 0) to (12 12 12)
  create_atoms CPU = 0.001 seconds
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 2.8
  ghost atom cutoff = 2.8
  binsize = 1.4, bins = 9 9 9
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : lj
  Current step  : 0
  Time step     : 0.01
Per MPI rank memory allocation (min/avg/max) = 3.129 | 3.129 | 3.129 Mbytes
   Step          Temp          PotEng         KinEng         TotEng         Press          Volume    
       670   0.98865239    -3.3167353      1.4812622     -1.8354731      0.10495458     1728         
       680   1.0046724     -3.3410278      1.5052644     -1.8357634      0.071338582    1728         
       690   0.98741637    -3.315275       1.4794103     -1.8358647      0.11583346     1728         
       700   1.0063823     -3.3443307      1.5078262     -1.8365045     -0.010216544    1728         
       710   1.0077104     -3.3463198      1.5098161     -1.8365037     -0.01993191     1728         
       720   0.98846664    -3.3176963      1.4809839     -1.8367124      0.038321154    1728         
       730   0.99046948    -3.3199353      1.4839847     -1.8359507      0.07048502     1728         
       740   0.98654554    -3.3140426      1.4781056     -1.835937       0.15061003     1728         
       750   1.0058911     -3.3432922      1.5070903     -1.8362019      0.090148913    1728         
       760   1.0172494     -3.3609232      1.524108      -1.8368152     -0.014328101    1728         
       770   1.0051145     -3.3434782      1.5059268     -1.8375514      0.018392898    1728         
       780   1.0124851     -3.3550425      1.5169699     -1.8380726      0.08041747     1728         
       790   1.0048981     -3.3435588      1.5056025     -1.8379563      0.16337257     1728         
       800   1.0082192     -3.3489206      1.5105784     -1.8383422      0.10306626     1728         
       810   0.98593067    -3.3143085      1.4771843     -1.8371241      0.13967878     1728         
       820   1.0064079     -3.3432245      1.5078646     -1.8353598     -0.0019456296   1728         
       830   0.99379925    -3.3242945      1.4889735     -1.835321       0.051905664    1728         
       840   1.0065314     -3.3433918      1.5080497     -1.8353421     -0.042191579    1728         
       850   1.0012545     -3.3351783      1.5001435     -1.8350348     -0.071993737    1728         
       860   0.99060288    -3.3191112      1.4841845     -1.8349267     -0.016086064    1728         
       870   1.0070987     -3.3441271      1.5088997     -1.8352275     -0.075569235    1728         
       880   0.9857596     -3.3117164      1.476928      -1.8347884      0.042655845    1728         
       890   0.9589457     -3.2706562      1.4367537     -1.8339025      0.12381636     1728         
       900   0.97760111    -3.2981094      1.4647044     -1.8334049     -0.038649657    1728         
       910   0.98667776    -3.3123932      1.4783037     -1.8340895     -0.11017436     1728         
       920   0.99227404    -3.3212272      1.4866884     -1.8345389     -0.10362546     1728         
       930   0.98795769    -3.316019       1.4802213     -1.8357976     -0.0055605937   1728         
       940   1.0076835     -3.3448283      1.5097758     -1.8350525     -0.063931251    1728         
       950   1.0183155     -3.3603772      1.5257054     -1.8346719     -0.11272803     1728         
       960   0.98136104    -3.3047749      1.4703378     -1.8344371      0.10433697     1728         
       970   1.0078191     -3.3453573      1.509979      -1.8353783      0.031062049    1728         
       980   0.99327371    -3.3235542      1.4881861     -1.8353681      0.020052181    1728         
       990   1.0158576     -3.35683        1.5220228     -1.8348072     -0.085922755    1728         
      1000   1.008061      -3.3455693      1.5103413     -1.835228      -0.054823575    1728         
      1010   0.99215649    -3.3215198      1.4865122     -1.8350075      0.027837681    1728         
      1020   0.98922753    -3.3162865      1.4821239     -1.8341626      0.059728078    1728         
      1030   1.0086387     -3.3450421      1.5112069     -1.8338352     -0.018274961    1728         
      1040   1.0040041     -3.3379051      1.504263      -1.833642      -0.022841329    1728         
      1050   1.0031309     -3.3374743      1.5029549     -1.8345195     -0.078505678    1728         
      1060   0.97543497    -3.2958361      1.461459      -1.8343771      0.033275938    1728         
      1070   0.97910732    -3.3016385      1.4669611     -1.8346774      0.043894713    1728         
      1080   0.98333119    -3.3079275      1.4732896     -1.8346378      0.040535178    1728         
